analysis_id,region,jurisdiction,age_group,sex,included,exclusion_reason,data_start,data_end,n_observations,missing_or_suppressed
us__us-non-sex__nebraska__60-79__total,us_non_sex,Nebraska,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__nebraska__ge80__total,us_non_sex,Nebraska,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__nevada__20-39__total,us_non_sex,Nevada,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__nevada__40-59__total,us_non_sex,Nevada,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__nevada__60-79__total,us_non_sex,Nevada,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__nevada__ge80__total,us_non_sex,Nevada,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__new-hampshire__20-39__total,us_non_sex,New Hampshire,20-39,total,TRUE,,1999-03-31,2023-08-31,198,98
us__us-non-sex__new-hampshire__40-59__total,us_non_sex,New Hampshire,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__new-hampshire__60-79__total,us_non_sex,New Hampshire,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__new-hampshire__ge80__total,us_non_sex,New Hampshire,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__new-jersey__20-39__total,us_non_sex,New Jersey,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__new-jersey__40-59__total,us_non_sex,New Jersey,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__new-jersey__60-79__total,us_non_sex,New Jersey,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__new-jersey__ge80__total,us_non_sex,New Jersey,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__new-mexico__20-39__total,us_non_sex,New Mexico,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__new-mexico__40-59__total,us_non_sex,New Mexico,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__new-mexico__60-79__total,us_non_sex,New Mexico,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__new-mexico__ge80__total,us_non_sex,New Mexico,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__new-york__20-39__total,us_non_sex,New York,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__new-york__40-59__total,us_non_sex,New York,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__new-york__60-79__total,us_non_sex,New York,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__new-york__ge80__total,us_non_sex,New York,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__north-carolina__20-39__total,us_non_sex,North Carolina,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__north-carolina__40-59__total,us_non_sex,North Carolina,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__north-carolina__60-79__total,us_non_sex,North Carolina,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__north-carolina__ge80__total,us_non_sex,North Carolina,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__north-dakota__20-39__total,us_non_sex,North Dakota,20-39,total,TRUE,,1999-11-30,2023-08-31,72,224
us__us-non-sex__north-dakota__40-59__total,us_non_sex,North Dakota,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__north-dakota__60-79__total,us_non_sex,North Dakota,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__north-dakota__ge80__total,us_non_sex,North Dakota,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__ohio__20-39__total,us_non_sex,Ohio,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__ohio__40-59__total,us_non_sex,Ohio,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__ohio__60-79__total,us_non_sex,Ohio,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__ohio__ge80__total,us_non_sex,Ohio,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__oklahoma__20-39__total,us_non_sex,Oklahoma,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__oklahoma__40-59__total,us_non_sex,Oklahoma,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__oklahoma__60-79__total,us_non_sex,Oklahoma,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__oklahoma__ge80__total,us_non_sex,Oklahoma,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
