"figure","region","geography","age_group","status","reason","geography_label"
"figure_04","us","Nebraska","60-79","available",,"Nebraska"
"figure_04","us","Nevada","60-79","available",,"Nevada"
"figure_04","us","New Hampshire","60-79","available",,"New Hampshire"
"figure_04","us","New Jersey","60-79","available",,"New Jersey"
"figure_04","us","New Mexico","60-79","available",,"New Mexico"
"figure_04","us","New York","60-79","available",,"New York"
"figure_04","us","North Carolina","60-79","available",,"North Carolina"
"figure_04","us","North Dakota","60-79","available",,"North Dakota"
"figure_04","us","Ohio","60-79","available",,"Ohio"
"figure_04","us","Oklahoma","60-79","available",,"Oklahoma"
"figure_04","us","Oregon","60-79","available",,"Oregon"
"figure_04","us","Pennsylvania","60-79","available",,"Pennsylvania"
"figure_04","us","Rhode Island","60-79","available",,"Rhode Island"
"figure_04","us","South Carolina","60-79","available",,"South Carolina"
"figure_04","us","South Dakota","60-79","available",,"South Dakota"
"figure_04","us","Tennessee","60-79","available",,"Tennessee"
"figure_04","us","Texas","60-79","available",,"Texas"
"figure_04","us","Utah","60-79","available",,"Utah"
"figure_04","us","Vermont","60-79","available",,"Vermont"
"figure_04","us","Virginia","60-79","available",,"Virginia"
"figure_04","us","Washington","60-79","available",,"Washington"
"figure_04","us","West Virginia","60-79","available",,"West Virginia"
"figure_04","us","Wisconsin","60-79","available",,"Wisconsin"
"figure_04","us","Wyoming","60-79","available",,"Wyoming"
"figure_04","us","Alabama","GE80","available",,"Alabama"
"figure_04","us","Alaska","GE80","available",,"Alaska"
"figure_04","us","Arizona","GE80","available",,"Arizona"
"figure_04","us","Arkansas","GE80","available",,"Arkansas"
"figure_04","us","California","GE80","available",,"California"
"figure_04","us","Colorado","GE80","available",,"Colorado"
"figure_04","us","Connecticut","GE80","available",,"Connecticut"
"figure_04","us","Delaware","GE80","available",,"Delaware"
"figure_04","us","District of Columbia","GE80","available",,"District of Columbia"
"figure_04","us","Florida","GE80","available",,"Florida"
"figure_04","us","Georgia","GE80","available",,"Georgia"
"figure_04","us","Hawaii","GE80","available",,"Hawaii"
"figure_04","us","Idaho","GE80","available",,"Idaho"
"figure_04","us","Illinois","GE80","available",,"Illinois"
"figure_04","us","Indiana","GE80","available",,"Indiana"
"figure_04","us","Iowa","GE80","available",,"Iowa"
"figure_04","us","Kansas","GE80","available",,"Kansas"
"figure_04","us","Kentucky","GE80","available",,"Kentucky"
"figure_04","us","Louisiana","GE80","available",,"Louisiana"
"figure_04","us","Maine","GE80","available",,"Maine"
"figure_04","us","Maryland","GE80","available",,"Maryland"
"figure_04","us","Massachusetts","GE80","available",,"Massachusetts"
"figure_04","us","Michigan","GE80","available",,"Michigan"
"figure_04","us","Minnesota","GE80","available",,"Minnesota"
"figure_04","us","Mississippi","GE80","available",,"Mississippi"
"figure_04","us","Missouri","GE80","available",,"Missouri"
"figure_04","us","Montana","GE80","available",,"Montana"
"figure_04","us","Nebraska","GE80","available",,"Nebraska"
"figure_04","us","Nevada","GE80","available",,"Nevada"
"figure_04","us","New Hampshire","GE80","available",,"New Hampshire"
"figure_04","us","New Jersey","GE80","available",,"New Jersey"
"figure_04","us","New Mexico","GE80","available",,"New Mexico"
"figure_04","us","New York","GE80","available",,"New York"
"figure_04","us","North Carolina","GE80","available",,"North Carolina"
"figure_04","us","North Dakota","GE80","available",,"North Dakota"
"figure_04","us","Ohio","GE80","available",,"Ohio"
"figure_04","us","Oklahoma","GE80","available",,"Oklahoma"
"figure_04","us","Oregon","GE80","available",,"Oregon"
"figure_04","us","Pennsylvania","GE80","available",,"Pennsylvania"
"figure_04","us","Rhode Island","GE80","available",,"Rhode Island"
"figure_04","us","South Carolina","GE80","available",,"South Carolina"
"figure_04","us","South Dakota","GE80","available",,"South Dakota"
"figure_04","us","Tennessee","GE80","available",,"Tennessee"
"figure_04","us","Texas","GE80","available",,"Texas"
"figure_04","us","Utah","GE80","available",,"Utah"
"figure_04","us","Vermont","GE80","available",,"Vermont"
"figure_04","us","Virginia","GE80","available",,"Virginia"
"figure_04","us","Washington","GE80","available",,"Washington"
"figure_04","us","West Virginia","GE80","available",,"West Virginia"
"figure_04","us","Wisconsin","GE80","available",,"Wisconsin"
"figure_04","us","Wyoming","GE80","available",,"Wyoming"
"figure_05","europe","AM","20-39","available",,"Armenia"
"figure_05","europe","AT","20-39","available",,"Austria"
"figure_05","europe","BE","20-39","available",,"Belgium"
"figure_05","europe","BG","20-39","available",,"Bulgaria"
"figure_05","europe","HR","20-39","available",,"Croatia"
"figure_05","europe","CY","20-39","available",,"Cyprus"
"figure_05","europe","CZ","20-39","available",,"Czechia"
"figure_05","europe","DK","20-39","available",,"Denmark"
"figure_05","europe","EE","20-39","available",,"Estonia"
"figure_05","europe","FI","20-39","available",,"Finland"
"figure_05","europe","FR","20-39","available",,"France"
"figure_05","europe","DE","20-39","unavailable","paired_registry_rows_missing","Germany"
"figure_05","europe","EL","20-39","available",,"Greece"
"figure_05","europe","HU","20-39","available",,"Hungary"
"figure_05","europe","IS","20-39","available",,"Iceland"
"figure_05","europe","IT","20-39","available",,"Italy"
"figure_05","europe","LV","20-39","available",,"Latvia"
"figure_05","europe","LI","20-39","available",,"Liechtenstein"
"figure_05","europe","LT","20-39","available",,"Lithuania"
"figure_05","europe","LU","20-39","available",,"Luxembourg"
"figure_05","europe","MT","20-39","available",,"Malta"
"figure_05","europe","ME","20-39","available",,"Montenegro"
"figure_05","europe","NL","20-39","available",,"Netherlands"
"figure_05","europe","NO","20-39","available",,"Norway"
"figure_05","europe","PL","20-39","available",,"Poland"
"figure_05","europe","PT","20-39","available",,"Portugal"
"figure_05","europe","RO","20-39","available",,"Romania"
"figure_05","europe","RS","20-39","available",,"Serbia"
"figure_05","europe","SK","20-39","available",,"Slovakia"
"figure_05","europe","SI","20-39","available",,"Slovenia"
"figure_05","europe","ES","20-39","available",,"Spain"
"figure_05","europe","SE","20-39","available",,"Sweden"
"figure_05","europe","CH","20-39","available",,"Switzerland"
"figure_05","europe","AM","40-59","available",,"Armenia"
"figure_05","europe","AT","40-59","available",,"Austria"
"figure_05","europe","BE","40-59","available",,"Belgium"
"figure_05","europe","BG","40-59","available",,"Bulgaria"
"figure_05","europe","HR","40-59","available",,"Croatia"
"figure_05","europe","CY","40-59","available",,"Cyprus"
"figure_05","europe","CZ","40-59","available",,"Czechia"
"figure_05","europe","DK","40-59","available",,"Denmark"
"figure_05","europe","EE","40-59","available",,"Estonia"
"figure_05","europe","FI","40-59","available",,"Finland"
"figure_05","europe","FR","40-59","available",,"France"
"figure_05","europe","DE","40-59","unavailable","paired_registry_rows_missing","Germany"
"figure_05","europe","EL","40-59","available",,"Greece"
"figure_05","europe","HU","40-59","available",,"Hungary"
"figure_05","europe","IS","40-59","available",,"Iceland"
"figure_05","europe","IT","40-59","available",,"Italy"
"figure_05","europe","LV","40-59","available",,"Latvia"
"figure_05","europe","LI","40-59","available",,"Liechtenstein"
"figure_05","europe","LT","40-59","available",,"Lithuania"
"figure_05","europe","LU","40-59","available",,"Luxembourg"
"figure_05","europe","MT","40-59","available",,"Malta"
"figure_05","europe","ME","40-59","available",,"Montenegro"
"figure_05","europe","NL","40-59","available",,"Netherlands"
"figure_05","europe","NO","40-59","available",,"Norway"
"figure_05","europe","PL","40-59","available",,"Poland"
"figure_05","europe","PT","40-59","available",,"Portugal"
"figure_05","europe","RO","40-59","available",,"Romania"
"figure_05","europe","RS","40-59","available",,"Serbia"
"figure_05","europe","SK","40-59","available",,"Slovakia"
"figure_05","europe","SI","40-59","available",,"Slovenia"
"figure_05","europe","ES","40-59","available",,"Spain"
"figure_05","europe","SE","40-59","available",,"Sweden"
