"figure","region","geography","geography_label","age_group","frequency","coverage_start","usable_observations","expected_observations","missing_observations","coverage_fraction","default_eligible"
"figure_04","us","Colorado","Colorado","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Connecticut","Connecticut","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Delaware","Delaware","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","District of Columbia","District of Columbia","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Florida","Florida","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Georgia","Georgia","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Hawaii","Hawaii","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Idaho","Idaho","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Illinois","Illinois","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Indiana","Indiana","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Iowa","Iowa","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Kansas","Kansas","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Kentucky","Kentucky","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Louisiana","Louisiana","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Maine","Maine","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Maryland","Maryland","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Massachusetts","Massachusetts","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Michigan","Michigan","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Minnesota","Minnesota","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Mississippi","Mississippi","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Missouri","Missouri","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Montana","Montana","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Nebraska","Nebraska","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Nevada","Nevada","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","New Hampshire","New Hampshire","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","New Jersey","New Jersey","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","New Mexico","New Mexico","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","New York","New York","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","North Carolina","North Carolina","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","North Dakota","North Dakota","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Ohio","Ohio","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Oklahoma","Oklahoma","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Oregon","Oregon","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Pennsylvania","Pennsylvania","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Rhode Island","Rhode Island","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","South Carolina","South Carolina","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","South Dakota","South Dakota","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Tennessee","Tennessee","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Texas","Texas","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Utah","Utah","60-79","monthly",2020-01-01,44,44,0,1,TRUE
