"Notes"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	"30-34 years"	"30-34"	110	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	"35-39 years"	"35-39"	150	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	"40-44 years"	"40-44"	201	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	"45-49 years"	"45-49"	241	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	"50-54 years"	"50-54"	381	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	"55-59 years"	"55-59"	468	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	"60-64 years "	"60-64"	702	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	"65-69 years"	"65-69"	743	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	"70-74 years"	"70-74"	831	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	"75-79 years"	"75-79"	752	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	"80-84 years"	"80-84"	800	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	"85-89 years"	"85-89"	629	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	"90-94 years"	"90-94"	435	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	"95-99 years"	"95-99"	195	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	"100+ years"	"100+"	37	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"< 1 year"	"1"	42	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"10-14 years"	"10-14"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"15-19 years"	"15-19"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"20-24 years"	"20-24"	43	Not Applicable	Not Applicable
