"Notes"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2017"	"2017"	"Aug., 2017"	"2017/08"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2017"	"2017"	"Oct., 2017"	"2017/10"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2017"	"2017"	"Nov., 2017"	"2017/11"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2017"	"2017"	"Dec., 2017"	"2017/12"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2018"	"2018"	"Jan., 2018"	"2018/01"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2018"	"2018"	"Feb., 2018"	"2018/02"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2018"	"2018"	"Mar., 2018"	"2018/03"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2018"	"2018"	"Apr., 2018"	"2018/04"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2018"	"2018"	"May, 2018"	"2018/05"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2018"	"2018"	"Jun., 2018"	"2018/06"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2018"	"2018"	"Jul., 2018"	"2018/07"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2018"	"2018"	"Aug., 2018"	"2018/08"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2018"	"2018"	"Sep., 2018"	"2018/09"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2018"	"2018"	"Oct., 2018"	"2018/10"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2018"	"2018"	"Nov., 2018"	"2018/11"	19	Not Applicable	Not Applicable
