"STATISTIC Label","Quarter","Age Group","ICD 10 Diagnostic Group","UNIT","VALUE"
"Deaths Registered","2014Q2","5 - 14 years","Total deaths (A00-Y89)","Number","15"
"Deaths Registered","2014Q2","15 - 24 years","Total deaths (A00-Y89)","Number","38"
"Deaths Registered","2014Q2","25 - 34 years","Total deaths (A00-Y89)","Number","100"
"Deaths Registered","2014Q2","35 - 44 years","Total deaths (A00-Y89)","Number","159"
"Deaths Registered","2014Q2","45 - 54 years","Total deaths (A00-Y89)","Number","354"
"Deaths Registered","2014Q2","55 - 64 years","Total deaths (A00-Y89)","Number","717"
"Deaths Registered","2014Q2","65 - 74 years","Total deaths (A00-Y89)","Number","1271"
"Deaths Registered","2014Q2","75 - 84 years","Total deaths (A00-Y89)","Number","2103"
"Deaths Registered","2014Q2","85 years and over","Total deaths (A00-Y89)","Number","2368"
"Deaths Registered","2014Q2","All ages","Total deaths (A00-Y89)","Number","7197"
"Deaths Registered","2014Q3","Under 1 year","Total deaths (A00-Y89)","Number","74"
"Deaths Registered","2014Q3","1 - 4 years","Total deaths (A00-Y89)","Number","7"
"Deaths Registered","2014Q3","5 - 14 years","Total deaths (A00-Y89)","Number","16"
"Deaths Registered","2014Q3","15 - 24 years","Total deaths (A00-Y89)","Number","53"
"Deaths Registered","2014Q3","25 - 34 years","Total deaths (A00-Y89)","Number","120"
"Deaths Registered","2014Q3","35 - 44 years","Total deaths (A00-Y89)","Number","168"
"Deaths Registered","2014Q3","45 - 54 years","Total deaths (A00-Y89)","Number","354"
"Deaths Registered","2014Q3","55 - 64 years","Total deaths (A00-Y89)","Number","683"
"Deaths Registered","2014Q3","65 - 74 years","Total deaths (A00-Y89)","Number","1305"
"Deaths Registered","2014Q3","75 - 84 years","Total deaths (A00-Y89)","Number","2057"
"Deaths Registered","2014Q3","85 years and over","Total deaths (A00-Y89)","Number","2164"
"Deaths Registered","2014Q3","All ages","Total deaths (A00-Y89)","Number","7001"
"Deaths Registered","2014Q4","Under 1 year","Total deaths (A00-Y89)","Number","55"
"Deaths Registered","2014Q4","1 - 4 years","Total deaths (A00-Y89)","Number","10"
"Deaths Registered","2014Q4","5 - 14 years","Total deaths (A00-Y89)","Number","14"
"Deaths Registered","2014Q4","15 - 24 years","Total deaths (A00-Y89)","Number","64"
"Deaths Registered","2014Q4","25 - 34 years","Total deaths (A00-Y89)","Number","106"
"Deaths Registered","2014Q4","35 - 44 years","Total deaths (A00-Y89)","Number","188"
"Deaths Registered","2014Q4","45 - 54 years","Total deaths (A00-Y89)","Number","332"
"Deaths Registered","2014Q4","55 - 64 years","Total deaths (A00-Y89)","Number","657"
"Deaths Registered","2014Q4","65 - 74 years","Total deaths (A00-Y89)","Number","1288"
"Deaths Registered","2014Q4","75 - 84 years","Total deaths (A00-Y89)","Number","1912"
"Deaths Registered","2014Q4","85 years and over","Total deaths (A00-Y89)","Number","2161"
"Deaths Registered","2014Q4","All ages","Total deaths (A00-Y89)","Number","6787"
"Deaths Registered","2015Q1","Under 1 year","Total deaths (A00-Y89)","Number","55"
"Deaths Registered","2015Q1","1 - 4 years","Total deaths (A00-Y89)","Number","12"
"Deaths Registered","2015Q1","5 - 14 years","Total deaths (A00-Y89)","Number","8"
"Deaths Registered","2015Q1","15 - 24 years","Total deaths (A00-Y89)","Number","45"
"Deaths Registered","2015Q1","25 - 34 years","Total deaths (A00-Y89)","Number","80"
"Deaths Registered","2015Q1","35 - 44 years","Total deaths (A00-Y89)","Number","139"
"Deaths Registered","2015Q1","45 - 54 years","Total deaths (A00-Y89)","Number","327"
"Deaths Registered","2015Q1","55 - 64 years","Total deaths (A00-Y89)","Number","763"
"Deaths Registered","2015Q1","65 - 74 years","Total deaths (A00-Y89)","Number","1408"
"Deaths Registered","2015Q1","75 - 84 years","Total deaths (A00-Y89)","Number","2561"
"Deaths Registered","2015Q1","85 years and over","Total deaths (A00-Y89)","Number","3206"
"Deaths Registered","2015Q1","All ages","Total deaths (A00-Y89)","Number","8604"
"Deaths Registered","2015Q2","Under 1 year","Total deaths (A00-Y89)","Number","34"
"Deaths Registered","2015Q2","1 - 4 years","Total deaths (A00-Y89)","Number","12"
"Deaths Registered","2015Q2","5 - 14 years","Total deaths (A00-Y89)","Number","13"
"Deaths Registered","2015Q2","15 - 24 years","Total deaths (A00-Y89)","Number","47"
"Deaths Registered","2015Q2","25 - 34 years","Total deaths (A00-Y89)","Number","106"
"Deaths Registered","2015Q2","35 - 44 years","Total deaths (A00-Y89)","Number","161"
"Deaths Registered","2015Q2","45 - 54 years","Total deaths (A00-Y89)","Number","337"
"Deaths Registered","2015Q2","55 - 64 years","Total deaths (A00-Y89)","Number","687"
"Deaths Registered","2015Q2","65 - 74 years","Total deaths (A00-Y89)","Number","1335"
"Deaths Registered","2015Q2","75 - 84 years","Total deaths (A00-Y89)","Number","2178"
"Deaths Registered","2015Q2","85 years and over","Total deaths (A00-Y89)","Number","2655"
"Deaths Registered","2015Q2","All ages","Total deaths (A00-Y89)","Number","7565"
"Deaths Registered","2015Q3","Under 1 year","Total deaths (A00-Y89)","Number","52"
"Deaths Registered","2015Q3","1 - 4 years","Total deaths (A00-Y89)","Number","8"
"Deaths Registered","2015Q3","5 - 14 years","Total deaths (A00-Y89)","Number","16"
"Deaths Registered","2015Q3","15 - 24 years","Total deaths (A00-Y89)","Number","52"
"Deaths Registered","2015Q3","25 - 34 years","Total deaths (A00-Y89)","Number","107"
"Deaths Registered","2015Q3","35 - 44 years","Total deaths (A00-Y89)","Number","174"
"Deaths Registered","2015Q3","45 - 54 years","Total deaths (A00-Y89)","Number","335"
"Deaths Registered","2015Q3","55 - 64 years","Total deaths (A00-Y89)","Number","624"
"Deaths Registered","2015Q3","65 - 74 years","Total deaths (A00-Y89)","Number","1263"
"Deaths Registered","2015Q3","75 - 84 years","Total deaths (A00-Y89)","Number","1914"
"Deaths Registered","2015Q3","85 years and over","Total deaths (A00-Y89)","Number","2306"
"Deaths Registered","2015Q3","All ages","Total deaths (A00-Y89)","Number","6851"
"Deaths Registered","2015Q4","Under 1 year","Total deaths (A00-Y89)","Number","64"
"Deaths Registered","2015Q4","1 - 4 years","Total deaths (A00-Y89)","Number","6"
"Deaths Registered","2015Q4","5 - 14 years","Total deaths (A00-Y89)","Number","15"
"Deaths Registered","2015Q4","15 - 24 years","Total deaths (A00-Y89)","Number","54"
"Deaths Registered","2015Q4","25 - 34 years","Total deaths (A00-Y89)","Number","94"
"Deaths Registered","2015Q4","35 - 44 years","Total deaths (A00-Y89)","Number","163"
"Deaths Registered","2015Q4","45 - 54 years","Total deaths (A00-Y89)","Number","342"
